Brand,Lineup / Model,,,Eff.,Form Factor,Tier,Models,Part number,Rated
,,,8,S,ATX,X,,,,,,,,,,FSP,,,LLC,,DC-DC,,,,,,,,,,
,,,7,N,ATX,X,,,,,,,,,,,,,DF,,DMA,,,,,,,,,,
,Dark Power,,13,T,ATX,A,750/850/1000W,,,,2023,,,,,FSP,,BL,LLC,SR,DC-DC,,,,,,,,,,
,,,12,T,ATX,A,750/850/1000W,BN314-BN316,40,10,2021,,Full,,Full,FSP,Custom?,BL,LLC,SR,DC-DC,Silent Wings 3,FDB,CM6901T2,ICE2PCS02,,,,,,
,SFX-L Power,,,G,SFX-L,B,,,40,3,,,Full,,,High Power,<Custom>,,LLC,SR,DC-DC,Globe Fan,FDB,ICE2HS01G,ICE3PCS01G,,,,,,
,SFX Power,,-,B,SFX,D-,,,,,,,,,,FSP,,,DF,,GR,,,,,,,,,,
,,,v2,,SFX,D-,,,,,,,,,,,,,,,,,,,,,,,,,
,,,v3,,SFX,N,,,,,,,,,,,,,,,,,,,,,,,,,
,Power Zone,,,B,ATX,X,650/750W,BN210-BN211,50,5,2012,,Full,,Full,FSP,Power Zone 750,,ACRF,SR,DC-DC,,,,,,,,,,
,,,,B,ATX,,850/1000W,BN212-BN213,50,,,,Full,,Full,,Power Zone 850,FB,,,,Branded,,FSP 6600 ,,,SITI PS224,Y,Y,Y,
,Pure Power,,12M,,ATX,A*,750/850/1000W,,,,,,,,,HEC,Custom,,LLC,SR,DC-DC,,,,,,,,,,
,,,11,B,ATX,D-,300/350W,BN290-BN291,,5,,,No,,,FSP,EPN,,,,GR,,,,,,,,,,
,,,,G,ATX,B,400-700W,BN292-BN295,,,,,No,,Full,,heavier mod. Raider,,ACRF,SR,DC-DC,,,,,,,,,,
,,,11 CM,G,ATX,B,400-700W,BN296-BN299,40,,,,Semi,,,,,,ACRF,SR,,Branded,Rifle,,,,Weltrend WT7527,Y,M,A,
,,,11 FM,G,ATX,B+,550/650/750W,BN317-BN319,40,5,,,Full,,,CWT,Custom,FB,LLC,SR,DC-DC,Branded,Rifle,CM6901VAC,CM6500UN,,Weltrend WT7527RT,Y,A,A,
,,,,,,A,850/1000W,,,,,,Full,,Full,HEC,Custom,,LLC,,DC-DC,,,,,,,,,,
,,,10,B,ATX,X,<=350W,,,3,,,No,,,FSP,,,,,GR,,,,,,,,,,
,,,,G,ATX,,>=400W,,40,,,,No,,Full,,heavily mod. Raider,,ACRF,SR,DC-DC,Branded,Rifle,FSP 6600,,,,,,,
,,,9,B,ATX,X,300/350W,,,,,,,,,FSP,,,,,,,,,,,,,,,
,,,,S,ATX,,,,40,3,,,Semi,,,,Based on Raider,,ACRF,SR,GR,,,FSP 6600,,,,,,,
,,,L8,,ATX,X,<=400W,,,,,,,,,FSP,EPN,,,,,,,,,,,,,,
